"Voter, Affiliation",All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team
"Steve McGehee, News 9","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Dave McMenamin, ESPN","Toumani Camara, Portland","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Jarrett Allen, Cleveland","OG Anunoby, New York","Shai Gilgeous-Alexander, Oklahoma City","Jaden McDaniels, Minnesota","Amen Thompson, Houston"
"Chao Meng, TENCENT-ESPN","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Chris Miles, WarnerMedia","Dyson Daniels, Atlanta","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Jalen Williams, Oklahoma City","Toumani Camara, Portland","Luguentz Dort, Oklahoma City","Shai Gilgeous-Alexander, Oklahoma City","Cason Wallace, Oklahoma City","Ivica Zubac, LA Clippers"
"Yoko Miyaji, Sports Graphic Number","Dyson Daniels, Atlanta","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","OG Anunoby, New York","Toumani Camara, Portland","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis"
"Yoav Modai, Sport 5","Toumani Camara, Portland","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","OG Anunoby, New York","Shai Gilgeous-Alexander, Oklahoma City","Jaren Jackson Jr., Memphis","Amen Thompson, Houston","Ivica Zubac, LA Clippers"
"Law Murray, The Athletic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Shai Gilgeous-Alexander, Oklahoma City","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Jaden McDaniels, Minnesota","Jalen Williams, Oklahoma City"
"Eric Nehm, The Athletic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Rachel Nichols, Fox Sports","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Dyson Daniels, Atlanta","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Kevin O'Connor, Yahoo! Sports","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Evan Mobley, Cleveland","Amen Thompson, Houston","Jalen Williams, Oklahoma City","OG Anunoby, New York","Toumani Camara, Portland","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Ivica Zubac, LA Clippers"
"Candace Parker, WarnerMedia","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Bam Adebayo, Miami","Rudy Gobert, Minnesota","Amen Thompson, Houston","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Dave Pasch, ESPN/ABC","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Jarrett Allen, Cleveland","Shai Gilgeous-Alexander, Oklahoma City","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Ivica Zubac, LA Clippers"
"Kevin Pelton, ESPN","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Giannis Antetokounmpo, Milwaukee","Toumani Camara, Portland","Rudy Gobert, Minnesota","Draymond Green, Golden State","Jalen Williams, Oklahoma City"
"Kendrick Perkins, ESPN","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","Giannis Antetokounmpo, Milwaukee","OG Anunoby, New York","Anthony Edwards, Minnesota","Shai Gilgeous-Alexander, Oklahoma City","Cason Wallace, Oklahoma City"
"Michael Pina, The Ringer","Dyson Daniels, Atlanta","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Julia Poe, Chicago Tribune","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Keith Pompey, Philadelphia Inquirer","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Toumani Camara, Portland","Rudy Gobert, Minnesota","Amen Thompson, Houston","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Steve Popper, Newsday","OG Anunoby, New York","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Amen Thompson, Houston","Jalen Williams, Oklahoma City"
"Shaun Powell, NBA.com","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Giannis Antetokounmpo, Milwaukee","Toumani Camara, Portland","Shai Gilgeous-Alexander, Oklahoma City","Jaren Jackson Jr., Memphis","Myles Turner, Indiana"
"Duane Rankin, Arizona Republic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","OG Anunoby, New York","Jaren Jackson Jr., Memphis","Brook Lopez, Milwaukee","Jaden McDaniels, Minnesota","Amen Thompson, Houston"
"Stephanie Ready, WarnerMedia","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Bill Reiter, CBSSports.com","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Remi Reverchon, BeIN Sports","Toumani Camara, Portland","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Evan Mobley, Cleveland","Amen Thompson, Houston","Bam Adebayo, Miami","Giannis Antetokounmpo, Milwaukee","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Ivica Zubac, LA Clippers"
"Tim Reynolds, Associated Press","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Bam Adebayo, Miami","OG Anunoby, New York","Rudy Gobert, Minnesota","Evan Mobley, Cleveland","Jalen Williams, Oklahoma City"
"Aurelia Rieke, OpenCourt-Basketball.com","Dyson Daniels, Atlanta","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Amen Thompson, Houston","Derrick White, Boston","Jalen Williams, Oklahoma City"
"Josh Robbins, The Athletic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Bam Adebayo, Miami","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Ivica Zubac, LA Clippers"
"Melissa Rohlin, Fox Sports","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Taylor Rooks, Bleacher Report","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Ryen Russillo, The Ringer","Toumani Camara, Portland","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Bam Adebayo, Miami","OG Anunoby, New York","Dyson Daniels, Atlanta","Jaden McDaniels, Minnesota","Ivica Zubac, LA Clippers"
"Simone Sandri, La Gazzetta dello Sport","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","OG Anunoby, New York","Toumani Camara, Portland","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City"
"Omari Sankofa II, Detroit Free Press","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Bam Adebayo, Miami","OG Anunoby, New York","Toumani Camara, Portland","Amen Thompson, Houston","Ivica Zubac, LA Clippers"
"John Schuhmann, NBA.com","Dyson Daniels, Atlanta","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Derrick White, Boston","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Dennis Scott, WarnerMedia","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Jarrett Allen, Cleveland","Dillon Brooks, Houston","Jalen Duren, Detroit","Rudy Gobert, Minnesota","Josh Hart, New York"
"Jorge Sedano, ESPN/ABC","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Giannis Antetokounmpo, Milwaukee","Toumani Camara, Portland","Dyson Daniels, Atlanta","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City"
"Ramona Shelburne, ESPN","Toumani Camara, Portland","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Brook Lopez, Milwaukee","Jaden McDaniels, Minnesota","Amen Thompson, Houston","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Bill Simmons, The Ringer","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","Giannis Antetokounmpo, Milwaukee","OG Anunoby, New York","Toumani Camara, Portland","Amen Thompson, Houston","Jalen Williams, Oklahoma City"
"Anthony Slater, The Athletic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","Bam Adebayo, Miami","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Amen Thompson, Houston","Jalen Williams, Oklahoma City"
"Doug Smith, The Toronto Star","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City"
"Stephen A. Smith, ESPN","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","Bam Adebayo, Miami","OG Anunoby, New York","Toumani Camara, Portland","Dyson Daniels, Atlanta","Ivica Zubac, LA Clippers"
"Steve Smith, WarnerMedia","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Justin Termine, Sirius Radio","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","OG Anunoby, New York","Toumani Camara, Portland","Rudy Gobert, Minnesota","Draymond Green, Golden State","Amen Thompson, Houston"
"Flavio Tranquillo, Sky Italia","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Derrick White, Boston","Toumani Camara, Portland","Jaren Jackson Jr., Memphis","Jaden McDaniels, Minnesota","Amen Thompson, Houston","Ivica Zubac, LA Clippers"
"Stan Van Gundy, WarnerMedia","Dillon Brooks, Houston","Dyson Daniels, Atlanta","Draymond Green, Golden State","Evan Mobley, Cleveland","Derrick White, Boston","Luguentz Dort, Oklahoma City","Anthony Edwards, Minnesota","Brook Lopez, Milwaukee","Amen Thompson, Houston","Jalen Williams, Oklahoma City"
"Joe Vardon, The Athletic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","Toumani Camara, Portland","Shai Gilgeous-Alexander, Oklahoma City","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Myles Turner, Indiana"
"Gary Washburn, Boston Globe","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Bam Adebayo, Miami","Jarrett Allen, Cleveland","Giannis Antetokounmpo, Milwaukee","Toumani Camara, Portland","Derrick White, Boston"
"Michael Wilbon, ESPN","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers","OG Anunoby, New York","Dyson Daniels, Atlanta","Jaren Jackson Jr., Memphis","Amen Thompson, Houston","Derrick White, Boston"
"Brian Windhorst, ESPN","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","Toumani Camara, Portland","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Amen Thompson, Houston","Jalen Williams, Oklahoma City"
"Matt Winer, WarnerMedia","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Michael C. Wright, ESPN","Dyson Daniels, Atlanta","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Jalen Williams, Oklahoma City"
"Ohm Youngmisuk, ESPN","Dyson Daniels, Atlanta","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Toumani Camara, Portland","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City"
"Jeff Zillgitt, USA Today","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Jaden McDaniels, Minnesota","Derrick White, Boston","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
